Column,Target,Field,Description,Datatype,Origin,Notes,Code,Todo,Format

,1,Base VM config,,,,,,,,
1,1,Name,Guest Name,String,Native PowerCLI Value,,$_.Name,,
4,1,Powerstate,Power/Connection State,String,Native PowerCLI Value,,$_.Powerstate,,
3,1,HostName,VMs DNS Name,String,Native PowerCLI Value,,$_..ExtensionData.Guest.Hostname,***,
12,1,GuestFullName,VM Tools Detected Guest Name,String,Native PowerCLI Value,,$_.ExtensionData.Guest.Guestfullname,***,
11,1,ToolsVersion,Installed VM Tools Version,String,Native PowerCLI Value,,$_.ToolsVersion,,
2,1,ID,VM UID,String,Native PowerCLI Value,,$_.ID,,
5,1,Version,Hardware Version,String,Native PowerCLI Value,,$_.extensiondata.config.version,,
13,1,CreateDate,Date Created,Date,Native PowerCLI Value,,$_.ExtensionData.Config.CreateDate,,"Short Date"
24,1,LocationCode,Four Letter Location Code,String,Derived from LocationID custom attribute.,If guest attribute is empty use the same attribute on the parent host.,,,

,1,VM Capacity,,,,,,,,
6,1,MemoryGB,Allocation Memory /GB,Number,Native PowerCLI Value,,$_.MemoryGB,,
7,1,CPUCores,Allocated CPU Cores,Number,Native PowerCLI Value,,$_.NumCpu,,

,1,Host and upstream Information,,,,,,,,
14,1,vCenter,Parent vCenter Server,String,Native PowerCLI Value,,,,
15,1,HostName,Parent Host Name,String,Native PowerCLI Value,,(get-vmhost -vm $oVMGuest).name,***,
16,1,HostVersion,Parent ESXi Host Version,String,Native PowerCLI Value,,(get-vmhost -vm $oVMGuest).version,,
17,1,HostBuild,Parent ESXi Host Build Number,String,Native PowerCLI Value,,(get-vmhost -vm $oVMGuest).build,,
18,1,Datacenter,Parent Datacentre,String,Native PowerCLI Value,,(Get-Datacenter -Server $VCServer -vm $oVMGuest.name),,
19,1,Cluster,Parent Cluster,String,Native PowerCLI Value,,(Get-Cluster -Server $VCServer -vm $oVMGuest.name),,
20,1,ResourcePool,Parent Resource Pool,String,Native PowerCLI Value,,(Get-ResourcePool -Server $VCServer -VM $oVMGuest),,
21,1,Folder,Parent Folder,String,Native PowerCLI Value,,$_.Folder,,

,1,Metadata,,,,,,,,
22,1,Notes,Notes,String,Native PowerCLI Value,,$_.Notes,,
25,1,AttributeName,List of Attribute Names,String Array,Native PowerCLI Value,,,,
26,1,AttributeValue,List of Attribute Values,String Array,Native PowerCLI Value,,,,
27,1,AttributeTag,List of Tags,String Array,Native PowerCLI Value,,(Get-TagAssignment -Entity $oVMGuest).Tag.Name,,

,1,Storage Capacity,,,,,,,,
9,1,UsedSpaceGB,Total Used Disk Space / GB,Number,Native PowerCLI Value,,$_.UsedSpaceGB,,"#,###.00"
10,1,ProvisionedSpaceGB,Total Provisoned Disk Space / GB,Number,Native PowerCLI Value,,$_.ProvisionedSpaceGB,,

29,1,DiskLayoutStorageFormat,List of Disks / Layout,String Array,Native PowerCLI Value,,(get-HardDisk -VM $oVMGuest).StorageFormat,,
30,1,DiskLayoutPersistence,List of Disks / Persistence,String Array,Native PowerCLI Value,,(get-HardDisk -VM $oVMGuest).Persistence,,
31,1,DiskLayoutDiskType,List of Disks / Type,String Array,Native PowerCLI Value,,(get-HardDisk -VM $oVMGuest).DiskType,,
